,vid_name,channel_name,publishedAt ,views,likes,commentCount,vidID,Playlist_id,Playlist_name,channel_id,subs,artist
0,J Balvin & Ed Sheeran - Forever My Love [Official Video],Ed Sheeran,2022-03-25T00:00:12Z,18195666,451225,14373,bqtMJ391poA,PLWgVwtnp9KujNWv3gI631ccra2Pr44ccH,J Balvin x Hits,UCt-k6JwNWHMXDBGm9IYHdsg,34000000,J Balvin
1,J Balvin & Ed Sheeran - Sigue [Official Video],jbalvinVEVO,2022-03-25T00:00:08Z,27998794,459391,18221,8pIzxS_G8-g,PLWgVwtnp9KujNWv3gI631ccra2Pr44ccH,J Balvin x Hits,UCt-k6JwNWHMXDBGm9IYHdsg,34000000,J Balvin
2,"J Balvin, Ed Sheeran - Sigue (Lyric Video)",jbalvinVEVO,2022-05-31T16:00:02Z,529231,13135,270,3dCARL28qKs,PLWgVwtnp9KuifdEI3hEo0feBlmBjcUyJw,"Sigue + Forever My Love - J Balvin, Ed Sheeran",UCt-k6JwNWHMXDBGm9IYHdsg,34000000,J Balvin
3,"J Balvin, Ed Sheeran - Forever My Love (Lyric Video)",jbalvinVEVO,2022-05-31T16:00:25Z,591141,15778,449,nKYFMqmV_Hg,PLWgVwtnp9KuifdEI3hEo0feBlmBjcUyJw,"Sigue + Forever My Love - J Balvin, Ed Sheeran",UCt-k6JwNWHMXDBGm9IYHdsg,34000000,J Balvin
4,"J Balvin, Willy William - Mi Gente (Official Video)",jbalvinVEVO,2017-06-30T04:00:05Z,3238330427,17734396,523173,wnJ6LuUFpMo,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,UCt-k6JwNWHMXDBGm9IYHdsg,34000000,J Balvin
5,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,2018-03-02T05:00:19Z,2167797811,10019145,262744,_I_D_8Z4sJE,PLWgVwtnp9Kujc0edcQGrsIwJg2TDLESqC,Collaborations,UCt-k6JwNWHMXDBGm9IYHdsg,34000000,J Balvin
6,"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho",RosaliaVEVO,2019-03-28T17:00:06Z,2091817585,9438550,281935,p7bfOZek9t4,PLWgVwtnp9Kujc0edcQGrsIwJg2TDLESqC,Collaborations,UCt-k6JwNWHMXDBGm9IYHdsg,34000000,J Balvin
7,J. Balvin - Ay Vamos (Official Video),jbalvinVEVO,2014-08-29T16:06:21Z,1938898299,5419310,133211,TapXs54Ah3E,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,UCt-k6JwNWHMXDBGm9IYHdsg,34000000,J Balvin
8,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)",Anuel AA,2019-07-19T14:03:10Z,2038322791,8559439,307545,0VR3dfZf9Yg,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,UCt-k6JwNWHMXDBGm9IYHdsg,34000000,J Balvin
9,"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)",JhayCortezVEVO,2019-05-17T04:00:03Z,2070703131,6110942,108669,w2C6RhQBYlg,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos,UCt-k6JwNWHMXDBGm9IYHdsg,34000000,J Balvin
10,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",Cardi B,2018-05-29T14:05:10Z,1559274264,10476454,315817,xTlNMmZKwpA,PLWgVwtnp9Kujc0edcQGrsIwJg2TDLESqC,Collaborations,UCt-k6JwNWHMXDBGm9IYHdsg,34000000,J Balvin
11,"Chris Jedi - Ahora Dice (Official Video) ft. J. Balvin, Ozuna, Arcángel",ChrisJediVEVO,2017-03-20T04:00:01Z,1375844306,4906856,156734,c73Cu3TQnlg,PLWgVwtnp9KuiYAFsyI-UesxcoF8YOxMv0,J Balvin x Top 15,UCt-k6JwNWHMXDBGm9IYHdsg,34000000,J Balvin
